url,titre,prix_num,ville
https://www.citya.com/annonces/vente/appartement/cholet-49300/TAPP957834,"Appartement à vendre 3 pièces 50m²
 Cholet (49300)",93.0,Cholet (49300)
https://www.citya.com/annonces/vente/maison/vouille-79230/TMAI153182A,"Maison à vendre 7 pièces 160m²
 Vouillé (79230)",253.0,Vouillé (79230)
https://www.citya.com/annonces/vente/appartement/orleans-45234/TAPP287-954555,"Appartement à vendre 3 pièces 68.51m²
 Orléans (45100)",77.0,Orléans (45100)
https://www.citya.com/annonces/vente/appartement/tours-37261/TAPP924141A,"Appartement à vendre 3 pièces 71m²
 Tours (37200)",225.0,Tours (37200)
https://www.citya.com/annonces/vente/appartement/beziers-34500/TAPP958560,"Appartement à vendre 2 pièces 41m²
 Béziers (34500)",80.0,Béziers (34500)
https://www.citya.com/annonces/vente/appartement/chatellerault-86100/TAPP956876,"Appartement à vendre 3 pièces 69.07m²
 Châtellerault (86100)",99.0,Châtellerault (86100)
https://www.citya.com/annonces/vente/maison/olivet-45160/TMAI287-954582,"Maison à vendre 7 pièces 191m²
 Olivet (45160)",450.0,Olivet (45160)
https://www.citya.com/annonces/vente/appartement/niort-79000/TAPP954951,"Appartement à vendre 2 pièces 48m²
 Niort (79000)",105.0,Niort (79000)
https://www.citya.com/annonces/vente/maison/chateauroux-36000/TMAI153002,"Maison à vendre 5 pièces 111m²
 Châteauroux (36000)",164.0,Châteauroux (36000)
https://www.citya.com/annonces/vente/appartement/seloncourt-25230/TAPP953954,"Appartement à vendre 2 pièces 48.22m²
 Seloncourt (25230)",66.0,Seloncourt (25230)
https://www.citya.com/annonces/vente/appartement/tours-37261/TAPP948224,"Appartement à vendre 4 pièces 86.75m²
 Tours (37000)",300.0,Tours (37000)
https://www.citya.com/annonces/vente/appartement/saint-maximin-60740/TAPP923679,"Appartement à vendre 3 pièces 59.86m²
 Saint-Maximin (60740)",150.0,Saint-Maximin (60740)
https://www.citya.com/annonces/vente/appartement/sete-34200/TAPP958606,"Appartement à vendre 1 pièce 26.91m²
 Sète (34200)",92.0,Sète (34200)
https://www.citya.com/annonces/vente/appartement/pau-64445/TAPP495704,"Appartement à vendre 2 pièces 66.5m²
 Pau (64000)",103.0,Pau (64000)
https://www.citya.com/annonces/vente/maison/avoine-37420/TMAI147136,"Maison à vendre 5 pièces 97.8m²
 Avoine (37420)",265.0,Avoine (37420)
https://www.citya.com/annonces/vente/maison/cholet-49300/TMAI154806,"Maison à vendre 5 pièces 90m²
 Cholet (49300)",256.0,Cholet (49300)
https://www.citya.com/annonces/vente/appartement/agen-47000/TAPP944510,"Appartement à vendre 2 pièces 55m²
 Agen (47000)",104.0,Agen (47000)
https://www.citya.com/annonces/vente/appartement/toulouse-31555/TAPP527918,"Appartement à vendre 1 pièce 31.34m²
 Toulouse (31100)",60.0,Toulouse (31100)
https://www.citya.com/annonces/vente/appartement/villeneuve-les-beziers-34336/TAPP939924,"Appartement à vendre 3 pièces 58.35m²
 Villeneuve-lès-Béziers (34420)",138.0,Villeneuve-lès-Béziers (34420)
https://www.citya.com/annonces/vente/maison/tours-37261/TMAI149181,"Maison à vendre 6 pièces 132m²
 Tours (37100)",385.0,Tours (37100)
https://www.citya.com/annonces/vente/appartement/chatellerault-86100/TAPP958602,"Appartement à vendre 3 pièces 84.9m²
 Châtellerault (86100)",130.0,Châtellerault (86100)
https://www.citya.com/annonces/vente/maison/eybens-38320/TMAI155417,"Maison à vendre 5 pièces 112.12m²
 Eybens (38320)",270.0,Eybens (38320)
https://www.citya.com/immobilier/nos-guides/location/maison-ancienne,Maison ancienne,,
https://www.citya.com/annonces/vente/appartement/nice-06088/TAPP950014,"Appartement à vendre 4 pièces 82m²
 Nice (06000)",350.0,Nice (06000)
https://www.citya.com/annonces/vente/appartement/cannes-06029/TAPP511897,"Appartement à vendre 2 pièces 44m²
 Cannes (06400)",198.0,Cannes (06400)
